Ano,Trimestre,Mês,Dia,VLR TOT
2019,Trim 1,março,23,13563
2019,Trim 2,abril,6,13205.52
2019,Trim 4,dezembro,7,9419
2019,Trim 4,dezembro,21,8948
2019,Trim 3,julho,27,8945
2019,Trim 2,abril,13,8803.5
2019,Trim 2,maio,4,8094
2019,Trim 4,dezembro,20,8025
2019,Trim 4,outubro,5,7962
2019,Trim 4,dezembro,13,7833
2019,Trim 2,maio,25,7537
2019,Trim 3,julho,13,7281
2019,Trim 1,janeiro,12,7232
2019,Trim 2,junho,8,7173
2019,Trim 4,outubro,11,7109
2019,Trim 4,novembro,14,7093
2019,Trim 4,novembro,16,6988
2019,Trim 3,julho,20,6935
2019,Trim 1,março,16,6255
2019,Trim 3,agosto,10,6189.5
2019,Trim 4,dezembro,6,5983
2019,Trim 4,novembro,9,5528
2019,Trim 3,agosto,17,5470
2019,Trim 1,março,9,5021
2019,Trim 1,janeiro,5,4930
2019,Trim 1,janeiro,4,4913
2019,Trim 1,março,30,4854
2019,Trim 3,agosto,2,4554
2019,Trim 4,outubro,26,4460
2019,Trim 2,junho,15,4364
2019,Trim 1,fevereiro,9,4199.5
2019,Trim 3,agosto,24,4176
2019,Trim 4,novembro,15,4104
2019,Trim 2,abril,27,4097
2019,Trim 4,dezembro,14,3844.5
2019,Trim 1,janeiro,25,3838
2019,Trim 2,junho,28,3777.5
2019,Trim 1,janeiro,26,3757
2019,Trim 4,dezembro,5,3740
2019,Trim 3,setembro,21,3646
2019,Trim 3,agosto,3,3575
2019,Trim 4,novembro,30,3480
2019,Trim 2,junho,29,3324.5
2019,Trim 3,agosto,9,3309
2019,Trim 1,janeiro,27,3290
2019,Trim 1,janeiro,20,3185
2019,Trim 3,setembro,7,3151.5
2019,Trim 4,novembro,22,3100
2019,Trim 3,agosto,16,3073
2019,Trim 3,agosto,14,3021
2019,Trim 1,janeiro,18,2995
2019,Trim 4,novembro,8,2778
2019,Trim 1,fevereiro,16,2765
2019,Trim 2,maio,18,2516
2019,Trim 4,outubro,19,2434
2019,Trim 3,julho,25,2430
2019,Trim 3,setembro,25,2165
2019,Trim 3,julho,6,2116
2019,Trim 4,novembro,21,2056
2019,Trim 3,agosto,30,1839
2019,Trim 4,dezembro,11,1836
2019,Trim 2,maio,17,1823
2019,Trim 2,abril,20,1785
2019,Trim 3,agosto,28,1742
2019,Trim 3,setembro,6,1576
2019,Trim 3,agosto,20,1540
2019,Trim 4,novembro,29,1523
2019,Trim 2,maio,6,1429
2019,Trim 4,outubro,28,1420
2019,Trim 3,julho,30,1400
2019,Trim 3,agosto,31,1337
2019,Trim 1,fevereiro,20,1195
2019,Trim 4,outubro,4,1195
2019,Trim 3,setembro,27,1169
2019,Trim 2,maio,11,1167
2019,Trim 1,janeiro,11,1086
2019,Trim 3,agosto,23,1035
2019,Trim 4,dezembro,9,1031
2019,Trim 4,dezembro,15,1015
2019,Trim 2,abril,23,1010
2019,Trim 4,dezembro,17,1000
2019,Trim 4,outubro,12,969
2019,Trim 4,novembro,23,945
2019,Trim 2,maio,30,920
2019,Trim 4,outubro,25,904
2019,Trim 1,fevereiro,1,900
2019,Trim 1,fevereiro,23,870
2019,Trim 4,outubro,2,864
2019,Trim 4,outubro,18,830
2019,Trim 3,agosto,21,820
2019,Trim 1,fevereiro,15,808
2019,Trim 4,outubro,22,807
2019,Trim 2,junho,1,800
2019,Trim 4,novembro,7,796
2019,Trim 3,agosto,18,785
2019,Trim 4,novembro,1,785
2019,Trim 3,setembro,14,774
2019,Trim 3,julho,28,770
2019,Trim 4,novembro,28,759
2019,Trim 4,dezembro,18,743
2019,Trim 4,outubro,31,705
2019,Trim 3,setembro,28,698
2019,Trim 3,setembro,13,697.5
2019,Trim 2,maio,10,690
2019,Trim 2,abril,5,662.5
2019,Trim 4,novembro,13,595
2019,Trim 4,outubro,17,570
2019,Trim 4,novembro,6,550
2019,Trim 4,dezembro,10,525
2019,Trim 2,junho,14,470
2019,Trim 2,maio,14,440
2019,Trim 2,maio,12,430
2019,Trim 2,maio,3,424
2019,Trim 1,março,22,400
2019,Trim 1,março,15,390
2019,Trim 3,agosto,7,360
2019,Trim 4,dezembro,12,360
2019,Trim 2,abril,17,356
2019,Trim 1,fevereiro,22,345
2019,Trim 2,junho,22,280
2019,Trim 4,outubro,23,280
2019,Trim 2,junho,16,255
2019,Trim 1,fevereiro,13,240
2019,Trim 1,março,17,200
2019,Trim 1,fevereiro,7,180
2019,Trim 2,junho,26,140
2019,Trim 2,maio,22,120
2019,Trim 4,dezembro,3,120
2019,Trim 2,maio,7,100
2019,Trim 1,março,29,75
2019,Trim 1,janeiro,28,65
2019,Trim 3,agosto,27,40
