FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
CORES,46,7703
MADEIRA,101,7020
DOURADO,56,5585
PRETO,46,3135
ROSE GOLD,16,1645
PÉROLA,9,1089
BRANCO,7,920
VERDE,5,875
BEGE,2,600
"DOURADO, PÉROLA",3,460
MARROM,6,412
TIPO PASSARINHOS,5,410
BRANCO ENVELHECIDO,3,270
BRONZE,3,270
"BEGE, NUDE, VERDE MUSGO",1,250
"MADEIRA, VERDE",1,250
"MARROM, FERRO",1,250
ROSA,1,240
"MADEIRA, FERRO",2,235
DOURADO E PÉROLA,1,233
"PÉROLA , ROSA ANTIGO",1,200
"VERDE, ROSE GOLD",1,190
"PRETO, MADEIRA",1,182
NUDE,1,180
FENDI,2,164
CANDY COLORS,1,150
VERDE E MADEIRA,1,125
PRATA,2,115
CEREJEIRA ROSA,1,100
"ROSA, AMARELO",1,85
PRATA ESPELHO,2,55
